"age_group","siblings_group","city_or_village","Gender","dwelling_type","trance1","trance2","trance3","trance4","trance5"
"20","only_child","village","male","block of flats",0,0,1,0,0
"20","only_child","village","male","house/bungalow",1,0,0,1,0
"20","two_plus_siblings","city","","block of flats",0,0,0,0,1
"20","two_plus_siblings","city","female","block of flats",3,0,1,0,0
"20","two_plus_siblings","city","male","block of flats",3,1,0,0,1
"20","two_plus_siblings","village","female","house/bungalow",1,0,0,0,0
"20","two_plus_siblings","village","male","block of flats",0,0,2,0,0
"20","two_plus_siblings","village","male","house/bungalow",1,0,1,1,0
"20","two_siblings","city","female","block of flats",10,3,1,0,0
"20","two_siblings","city","female","house/bungalow",2,1,1,0,0
"20","two_siblings","city","male","block of flats",2,2,1,2,2
"20","two_siblings","city","male","house/bungalow",1,1,1,0,0
"20","two_siblings","village","female","house/bungalow",2,1,0,1,1
"20","two_siblings","village","male","block of flats",1,0,1,0,0
"20","two_siblings","village","male","house/bungalow",0,1,1,0,1
"21","one_sibling","city","female","block of flats",13,8,2,1,3
"21","one_sibling","city","female","house/bungalow",0,4,0,0,0
"21","one_sibling","city","male","block of flats",4,5,0,3,2
"21","one_sibling","city","male","house/bungalow",0,1,2,1,0
"21","one_sibling","village","female","house/bungalow",5,3,0,2,1
"21","one_sibling","village","male","block of flats",0,0,1,0,1
"21","one_sibling","village","male","house/bungalow",3,1,4,3,0
"21","only_child","city","female","block of flats",2,4,4,0,1
"21","only_child","city","female","house/bungalow",3,0,0,0,0
"21","only_child","city","male","block of flats",3,0,5,1,0
"21","only_child","city","male","house/bungalow",0,1,0,0,0
"21","only_child","village","female","block of flats",1,0,0,1,0
"21","two_plus_siblings","city","female","house/bungalow",1,0,0,0,0
"21","two_plus_siblings","city","male","block of flats",1,1,1,0,0
"21","two_plus_siblings","city","male","house/bungalow",0,0,1,1,0
"21","two_plus_siblings","village","female","house/bungalow",0,1,0,1,0
"21","two_plus_siblings","village","male","house/bungalow",0,0,1,0,0
"21","two_siblings","city","female","block of flats",0,0,0,2,1
"21","two_siblings","city","female","house/bungalow",1,1,0,1,0
"21","two_siblings","city","male","block of flats",1,1,1,1,0
"21","two_siblings","city","male","house/bungalow",1,0,0,0,0
"21","two_siblings","village","female","block of flats",0,1,0,0,0
"21","two_siblings","village","female","house/bungalow",1,1,0,0,0
"21","two_siblings","village","male","block of flats",0,0,0,0,1
"21","two_siblings","village","male","house/bungalow",1,0,2,0,0
"22","one_sibling","city","female","block of flats",7,1,0,0,2
"22","one_sibling","city","female","house/bungalow",1,2,2,0,0
"22","one_sibling","city","male","block of flats",5,3,3,2,3
"22","one_sibling","city","male","house/bungalow",0,0,0,1,0
"22","one_sibling","village","female","block of flats",1,0,1,0,0
"22","one_sibling","village","female","house/bungalow",0,0,1,2,1
"22","one_sibling","village","male","house/bungalow",5,1,2,0,0
"22","only_child","city","female","",1,0,0,0,0
"22","only_child","city","female","block of flats",0,0,1,0,0
"22","only_child","city","female","house/bungalow",0,1,0,0,0
"22","only_child","city","male","block of flats",2,0,0,0,0
"22","only_child","city","male","house/bungalow",0,1,1,1,0
"22","only_child","village","female","block of flats",1,0,0,1,0
"22","two_plus_siblings","city","female","block of flats",2,0,0,0,0
"22","two_plus_siblings","city","male","block of flats",0,0,0,2,0
"22","two_plus_siblings","city","male","house/bungalow",0,0,1,0,0
"22","two_plus_siblings","village","male","house/bungalow",0,0,1,0,0
"22","two_siblings","city","female","block of flats",1,2,0,2,1
"22","two_siblings","city","male","block of flats",3,1,0,3,2
"22","two_siblings","city","male","house/bungalow",1,0,0,0,0
"22","two_siblings","village","female","house/bungalow",3,1,0,0,0
"22","two_siblings","village","male","block of flats",0,1,0,0,0
"23-24","one_sibling","city","female","block of flats",6,4,1,0,0
"23-24","one_sibling","city","female","house/bungalow",4,0,0,0,0
"23-24","one_sibling","city","male","block of flats",9,1,1,2,1
"23-24","one_sibling","city","male","house/bungalow",0,0,1,0,0
"23-24","one_sibling","village","female","block of flats",0,0,0,0,1
"23-24","one_sibling","village","female","house/bungalow",1,1,0,2,1
"23-24","one_sibling","village","male","house/bungalow",1,0,0,0,1
"23-24","only_child","city","female","block of flats",1,0,0,0,0
"23-24","only_child","city","female","house/bungalow",1,0,2,0,0
"23-24","only_child","city","male","block of flats",1,0,2,1,1
"23-24","only_child","city","male","house/bungalow",0,0,1,0,0
"23-24","only_child","village","female","house/bungalow",1,0,1,0,0
"23-24","only_child","village","male","house/bungalow",1,0,0,0,1
"23-24","two_plus_siblings","city","female","block of flats",1,1,1,0,1
"23-24","two_plus_siblings","city","male","block of flats",0,0,1,0,0
"23-24","two_plus_siblings","village","female","house/bungalow",1,0,0,0,0
"23-24","two_plus_siblings","village","male","block of flats",1,0,0,0,0
"23-24","two_plus_siblings","village","male","house/bungalow",0,1,0,0,0
"23-24","two_siblings","city","female","block of flats",1,0,0,0,0
"23-24","two_siblings","city","male","block of flats",0,1,0,0,1
"23-24","two_siblings","city","male","house/bungalow",0,0,0,1,0
"23-24","two_siblings","village","female","block of flats",1,0,0,0,0
"23-24","two_siblings","village","female","house/bungalow",0,1,1,0,0
"23-24","two_siblings","village","male","block of flats",0,0,0,0,1
"23-24","two_siblings","village","male","house/bungalow",2,0,2,1,1
"25-30","one_sibling","","male","block of flats",0,0,1,0,0
"25-30","one_sibling","city","","block of flats",0,1,0,0,0
"25-30","one_sibling","city","female","block of flats",9,3,2,2,3
"25-30","one_sibling","city","female","house/bungalow",1,0,3,1,0
"25-30","one_sibling","city","male","block of flats",3,0,4,1,3
"25-30","one_sibling","city","male","house/bungalow",2,1,1,0,0
"25-30","one_sibling","village","","house/bungalow",0,0,1,0,0
"25-30","one_sibling","village","female","block of flats",0,0,0,1,0
"25-30","one_sibling","village","female","house/bungalow",3,0,0,1,0
"25-30","one_sibling","village","male","block of flats",1,0,0,0,0
"25-30","one_sibling","village","male","house/bungalow",1,1,0,0,1
"25-30","only_child","city","female","block of flats",1,0,0,0,0
"25-30","only_child","city","male","block of flats",2,0,0,0,0
"25-30","only_child","city","male","house/bungalow",1,0,0,0,0
"25-30","only_child","village","female","house/bungalow",0,0,1,0,0
"25-30","only_child","village","male","house/bungalow",1,0,0,0,0
"25-30","two_plus_siblings","city","male","block of flats",1,2,0,0,1
"25-30","two_plus_siblings","city","male","house/bungalow",0,1,1,1,0
"25-30","two_plus_siblings","village","female","house/bungalow",4,0,0,0,0
"25-30","two_plus_siblings","village","male","house/bungalow",2,1,0,1,1
"25-30","two_siblings","city","female","block of flats",2,4,1,1,0
"25-30","two_siblings","city","male","block of flats",2,1,0,3,0
"25-30","two_siblings","city","male","house/bungalow",2,1,0,0,0
"25-30","two_siblings","village","female","house/bungalow",3,0,0,0,1
"25-30","two_siblings","village","male","house/bungalow",1,0,1,0,1
